IQVIA Holdings Inc	    Ticker = 	IQV
McKesson Corporation	    Ticker = 	MCK
LyondellBasell Industries NV	    Ticker = 	LYB
Realty Income Corporation	    Ticker = 	O
Tyson Foods Inc. Class A	    Ticker = 	TSN
Aptiv PLC	    Ticker = 	APTV
Stanley Black & Decker Inc.	    Ticker = 	SWK
PPL Corporation	    Ticker = 	PPL
Willis Towers Watson Public Limited Company	    Ticker = 	WLTW
Archer-Daniels-Midland Company	    Ticker = 	ADM
Alexion Pharmaceuticals Inc.	    Ticker = 	ALXN
Xilinx Inc.	    Ticker = 	XLNX
Edison International	    Ticker = 	EIX
Agilent Technologies Inc.	    Ticker = 	A
Corning Inc	    Ticker = 	GLW
Entergy Corporation	    Ticker = 	ETR
Verisk Analytics Inc	    Ticker = 	VRSK
Twitter Inc.	    Ticker = 	TWTR
Northern Trust Corporation	    Ticker = 	NTRS
DTE Energy Company	    Ticker = 	DTE
Microchip Technology Incorporated	    Ticker = 	MCHP
Synchrony Financial	    Ticker = 	SYF
Pioneer Natural Resources Company	    Ticker = 	PXD
IDEXX Laboratories Inc.	    Ticker = 	IDXX
Ventas Inc.	    Ticker = 	VTR
M&T Bank Corporation	    Ticker = 	MTB
Ball Corporation	    Ticker = 	BLL
Hewlett Packard Enterprise Co.	    Ticker = 	HPE
Fifth Third Bancorp	    Ticker = 	FITB
Hartford Financial Services Group Inc.	    Ticker = 	HIG
Cintas Corporation	    Ticker = 	CTAS
American Water Works Company Inc.	    Ticker = 	AWK
Weyerhaeuser Company	    Ticker = 	WY
AMETEK Inc.	    Ticker = 	AME
Monster Beverage Corporation	    Ticker = 	MNST
Las Vegas Sands Corp.	    Ticker = 	LVS
Fortive Corp.	    Ticker = 	FTV
Kroger Co.	    Ticker = 	KR
Cerner Corporation	    Ticker = 	CERN
Fastenal Company	    Ticker = 	FAST
Hershey Company	    Ticker = 	HSY
Centene Corporation	    Ticker = 	CNC
Rockwell Automation Inc.	    Ticker = 	ROK
Essex Property Trust Inc.	    Ticker = 	ESS
Ameriprise Financial Inc.	    Ticker = 	AMP
United Airlines Holdings Inc.	    Ticker = 	UAL
Kraft Heinz Company	    Ticker = 	KHC
ResMed Inc.	    Ticker = 	RMD
Synopsys Inc.	    Ticker = 	SNPS
MSCI Inc. Class A	    Ticker = 	MSCI
Boston Properties Inc.	    Ticker = 	BXP
Corteva Inc	    Ticker = 	CTVA
McCormick & Company Incorporated	    Ticker = 	MKC
VeriSign Inc.	    Ticker = 	VRSN
Keysight Technologies Inc	    Ticker = 	KEYS
Royal Caribbean Cruises Ltd.	    Ticker = 	RCL
CDW Corp.	    Ticker = 	CDW
KeyCorp	    Ticker = 	KEY
Chipotle Mexican Grill Inc.	    Ticker = 	CMG
Cadence Design Systems Inc.	    Ticker = 	CDNS
Expedia Group Inc.	    Ticker = 	EXPE
Clorox Company	    Ticker = 	CLX
Align Technology Inc.	    Ticker = 	ALGN
First Republic Bank	    Ticker = 	FRC
Ameren Corporation	    Ticker = 	AEE
ANSYS Inc.	    Ticker = 	ANSS
Republic Services Inc.	    Ticker = 	RSG
Vulcan Materials Company	    Ticker = 	VMC
CBRE Group Inc. Class A	    Ticker = 	CBRE
International Paper Company	    Ticker = 	IP
Halliburton Company	    Ticker = 	HAL
Hess Corporation	    Ticker = 	HES
Carnival Corporation	    Ticker = 	CCL
Mettler-Toledo International Inc.	    Ticker = 	MTD
D.R. Horton Inc.	    Ticker = 	DHI
CMS Energy Corporation	    Ticker = 	CMS
Best Buy Co. Inc.	    Ticker = 	BBY
Alexandria Real Estate Equities Inc.	    Ticker = 	ARE
Omnicom Group Inc	    Ticker = 	OMC
Regions Financial Corporation	    Ticker = 	RF
Healthpeak Properties Inc.	    Ticker = 	PEAK
Skyworks Solutions Inc.	    Ticker = 	SWKS
Arthur J. Gallagher & Co.	    Ticker = 	AJG
Citizens Financial Group Inc.	    Ticker = 	CFG
Lennar Corporation Class A	    Ticker = 	LEN
Cincinnati Financial Corporation	    Ticker = 	CINF
Nucor Corporation	    Ticker = 	NUE
Church & Dwight Co. Inc.	    Ticker = 	CHD
Copart Inc.	    Ticker = 	CPRT
Equifax Inc.	    Ticker = 	EFX
Maxim Integrated Products Inc.	    Ticker = 	MXIM
Amcor PLC	    Ticker = 	AMCR
Laboratory Corporation of America Holdings	    Ticker = 	LH
Kellogg Company	    Ticker = 	K
Martin Marietta Materials Inc.	    Ticker = 	MLM
MGM Resorts International	    Ticker = 	MGM
Dover Corporation	    Ticker = 	DOV
Western Digital Corporation	    Ticker = 	WDC
CarMax Inc.	    Ticker = 	KMX
Genuine Parts Company	    Ticker = 	GPC
Celanese Corporation	    Ticker = 	CE
Huntington Bancshares Incorporated	    Ticker = 	HBAN
Mid-America Apartment Communities Inc.	    Ticker = 	MAA
Teleflex Incorporated	    Ticker = 	TFX
Freeport-McMoRan Inc.	    Ticker = 	FCX
Kansas City Southern	    Ticker = 	KSU
Cardinal Health Inc.	    Ticker = 	CAH
Evergy Inc.	    Ticker = 	EVRG
Incyte Corporation	    Ticker = 	INCY
WellCare Health Plans Inc.	    Ticker = 	WCG
Principal Financial Group Inc.	    Ticker = 	PFG
Ulta Beauty Inc	    Ticker = 	ULTA
CenterPoint Energy Inc.	    Ticker = 	CNP
Concho Resources Inc.	    Ticker = 	CXO
Cooper Companies Inc.	    Ticker = 	COO
Akamai Technologies Inc.	    Ticker = 	AKAM
Baker Hughes Company Class A	    Ticker = 	BKR
UDR Inc.	    Ticker = 	UDR
Waters Corporation	    Ticker = 	WAT
International Flavors & Fragrances Inc.	    Ticker = 	IFF
W.W. Grainger Inc.	    Ticker = 	GWW
Westinghouse Air Brake Technologies Corporation	    Ticker = 	WAB
Gartner Inc.	    Ticker = 	IT
Xylem Inc.	    Ticker = 	XYL
Extra Space Storage Inc.	    Ticker = 	EXR
NetApp Inc.	    Ticker = 	NTAP
Darden Restaurants Inc.	    Ticker = 	DRI
Seagate Technology PLC	    Ticker = 	STX
NortonLifeLock Inc.	    Ticker = 	NLOK
Citrix Systems Inc.	    Ticker = 	CTXS
Conagra Brands Inc.	    Ticker = 	CAG
Garmin Ltd.	    Ticker = 	GRMN
Quest Diagnostics Incorporated	    Ticker = 	DGX
Tiffany & Co.	    Ticker = 	TIF
Broadridge Financial Solutions Inc.	    Ticker = 	BR
Masco Corporation	    Ticker = 	MAS
Loews Corporation	    Ticker = 	L
Fortinet Inc.	    Ticker = 	FTNT
Expeditors International of Washington Inc.	    Ticker = 	EXPD
Jacobs Engineering Group Inc.	    Ticker = 	JEC
MarketAxess Holdings Inc.	    Ticker = 	MKTX
Take-Two Interactive Software Inc.	    Ticker = 	TTWO
Hologic Inc.	    Ticker = 	HOLX
AmerisourceBergen Corporation	    Ticker = 	ABC
CenturyLink Inc.	    Ticker = 	CTL
FMC Corporation	    Ticker = 	FMC
Cboe Global Markets Inc	    Ticker = 	CBOE
Host Hotels & Resorts Inc.	    Ticker = 	HST
Atmos Energy Corporation	    Ticker = 	ATO
Diamondback Energy Inc.	    Ticker = 	FANG
Duke Realty Corporation	    Ticker = 	DRE
DENTSPLY SIRONA Inc.	    Ticker = 	XRAY
J.M. Smucker Company	    Ticker = 	SJM
American Airlines Group Inc.	    Ticker = 	AAL
Alliant Energy Corp	    Ticker = 	LNT
Advance Auto Parts Inc.	    Ticker = 	AAP
Lincoln National Corporation	    Ticker = 	LNC
Qorvo Inc.	    Ticker = 	QRVO
CBS Corporation Class B	    Ticker = 	CBS
SVB Financial Group	    Ticker = 	SIVB
IDEX Corporation	    Ticker = 	IEX
NVR Inc.	    Ticker = 	NVR
Brown-Forman Corporation Class B	    Ticker = 	BF.B
Wynn Resorts Limited	    Ticker = 	WYNN
AES Corporation	    Ticker = 	AES
Western Union Company	    Ticker = 	WU
Fox Corporation Class A	    Ticker = 	FOXA
Nasdaq Inc.	    Ticker = 	NDAQ
Lamb Weston Holdings Inc.	    Ticker = 	LW
Leidos Holdings Inc.	    Ticker = 	LDOS
Tractor Supply Company	    Ticker = 	TSCO
Arconic Inc.	    Ticker = 	ARNC
Universal Health Services Inc. Class B	    Ticker = 	UHS
United Rentals Inc.	    Ticker = 	URI
Varian Medical Systems Inc.	    Ticker = 	VAR
Hormel Foods Corporation	    Ticker = 	HRL
Norwegian Cruise Line Holdings Ltd.	    Ticker = 	NCLH
Jack Henry & Associates Inc.	    Ticker = 	JKHY
Eastman Chemical Company	    Ticker = 	EMN
Regency Centers Corporation	    Ticker = 	REG
Avery Dennison Corporation	    Ticker = 	AVY
Raymond James Financial Inc.	    Ticker = 	RJF
LKQ Corporation	    Ticker = 	LKQ
Hasbro Inc.	    Ticker = 	HAS
Allegion PLC	    Ticker = 	ALLE
Textron Inc.	    Ticker = 	TXT
C.H. Robinson Worldwide Inc.	    Ticker = 	CHRW
Packaging Corporation of America	    Ticker = 	PKG
Everest Re Group Ltd.	    Ticker = 	RE
Comerica Incorporated	    Ticker = 	CMA
E*TRADE Financial Corporation	    Ticker = 	ETFC
Arista Networks Inc.	    Ticker = 	ANET
Vornado Realty Trust	    Ticker = 	VNO
Henry Schein Inc.	    Ticker = 	HSIC
J.B. Hunt Transport Services Inc.	    Ticker = 	JBHT
Pinnacle West Capital Corporation	    Ticker = 	PNW
Molson Coors Brewing Company Class B	    Ticker = 	TAP
CF Industries Holdings Inc.	    Ticker = 	CF
Noble Energy Inc.	    Ticker = 	NBL
WestRock Company	    Ticker = 	WRK
NiSource Inc	    Ticker = 	NI
NRG Energy Inc.	    Ticker = 	NRG
PulteGroup Inc.	    Ticker = 	PHM
Globe Life Inc.	    Ticker = 	GL
Whirlpool Corporation	    Ticker = 	WHR
Marathon Oil Corporation	    Ticker = 	MRO
Huntington Ingalls Industries Inc.	    Ticker = 	HII
ABIOMED Inc.	    Ticker = 	ABMD
Iron Mountain Inc.	    Ticker = 	IRM
PerkinElmer Inc.	    Ticker = 	PKI
Federal Realty Investment Trust	    Ticker = 	FRT
Snap-on Incorporated	    Ticker = 	SNA
BorgWarner Inc.	    Ticker = 	BWA
National Oilwell Varco Inc.	    Ticker = 	NOV
